Season,Episode,Category,Value,Question,Answer
40,8998,A DATE IN HISTORY,$200,"After this couple's first date in 1894, she went home to Poland while he wrote her letters about his ""dream for science""",Marie Curie & Pierre Curie
40,8998,IDIOMS & EXPRESSIONS,$200,"In a sporty idiom, to make expectations higher is to dothis, from field events like the pole vault",raise the bar
40,8998,A WORD FROM YOUR DOCTOR,$200,"When I ask if you have this kind of pain, I mean is it sharp or sudden, not from an angle of less than 90 degrees",acute
40,8998,ALSO A FISHING TERM,$200,Just scoop ice cream on root beer for this type of beverage,float
40,8998,A THING FOR FEATS,$200,"It took Russ Cook 352 days to run the length of this continent, from Cape Agulhas to the Mediterranean",Africa
40,8998,WE CRACK OURSELVES UP,$200,"Tom Felton said Rupert Grint was fined 2,500 pounds (going to charity) over the 1st 2 films in this series for laughing mid-scene",Harry Potter
40,8998,A DATE IN HISTORY,$400,In Tarsus in 41 B.C. Cleopatra wooed this beefy Roman by arriving to a date dressed as Venus,Marc Antony
40,8998,IDIOMS & EXPRESSIONS,$400,"Someone of unappealing visage is said to have ""a face for"" this medium; Fred Allen said it of himself",radio
40,8998,A WORD FROM YOUR DOCTOR,$400,"I'm afraid you've broken a brachial bone, brachial meaning a part of this body part",your arm
40,8998,ALSO A FISHING TERM,$400,Serling or Steiger,Rod
40,8998,A THING FOR FEATS,$400,In 2024 Anouk Garnier beat a record by rope climbing 361 feet to the second floor of this French landmark,the Eiffel Tower
40,8998,WE CRACK OURSELVES UP,$400,"You can see Matt LeBlanc try to hide real laughter as Joey ducks behind a panicked Ross, in search of a ring on this sitcom",Friends
40,8998,A DATE IN HISTORY,"DD: $1,000","In the summer of 1989, this not-yet-famous couple went on a movie date in Chicago & saw a Spike Lee film",the Obamas
40,8998,IDIOMS & EXPRESSIONS,$600,"Completing ""give him his..."". it means to free him, but completing ""hand him his..."". it means to beat him",hand (give) him his head
40,8998,A WORD FROM YOUR DOCTOR,$600,"I've got one of these forecasts for you, from Greek for ""prediction""",prognosis
40,8998,ALSO A FISHING TERM,$600,"Per the OED, ""a well-known conjecture is that"" this friendly word ""was a familiar abbreviation of chamber-fellow""",chum
40,8998,A THING FOR FEATS,$600,"In 2007 Alain Robert climbed an 88-story building with only his hands & feet while wearing this superhero costume, naturally",Spider-Man
40,8998,WE CRACK OURSELVES UP,$600,"On ""SNL"", Heidi Gardner could not take Mikey Day's makeup when he & Ryan Gosling played this animated MTV duo",Beavis & Butt-head
40,8998,A DATE IN HISTORY,$800,"On one of this duo's early dates in 1930, he crashed on her couch & in the morning, the Dallas police arrested him",Bonnie & Clyde
40,8998,IDIOMS & EXPRESSIONS,$800,"You'll find the French word for ""beautiful"" in this phrase for the most attractive person in a given setting",belle of the ball
40,8998,A WORD FROM YOUR DOCTOR,$800,"When I say this is ""thready"", I mean it's barely perceptible & feels kind of like a thin fiber moving under my finger",a pulse
40,8998,ALSO A FISHING TERM,$800,This baseball pitch gets batters to hit a lot of ground balls,a sinker
40,8998,A THING FOR FEATS,$800,"In 1955 Tex Johnston did this ""roll""-ing aerial maneuver in a big Boeing plane & later wrote, ""The airplane never knows it's inverted""",a barrel roll
40,8998,WE CRACK OURSELVES UP,$800,"After Tim Conway's ad-lib story about Siamese elephants, Vicki Lawrence broke this show's cast w/ ""Sure that little (bleep) is through?""",The Carol Burnett Show
40,8998,A DATE IN HISTORY,$1000,"A tale of a medieval hookup: this pair met in Paris around 1115, had a son, but lived on separated as monk & nun",Abelard & Héloïse
40,8998,IDIOMS & EXPRESSIONS,$1000,"This 2-part phrase meaning ""completely settled"" has a variation that's been used as a hair salon name",cut and dried
40,8998,A WORD FROM YOUR DOCTOR,$1000,I need to examine your ear--hold on while I grab this doohickey with a handle & a light that lets me look inside,an otoscope
40,8998,ALSO A FISHING TERM,$1000,"In computing, it's an acronym for a transfer of data to a temporary storage area",a spool(ing)
40,8998,A THING FOR FEATS,$1000,Jeanne Baret in the 1700s is credited with being the first woman to do this; she had to transfer ships to accomplish it,circumnavigate the globe
40,8998,WE CRACK OURSELVES UP,$1000,"Jack Nicholson, who may or may not have been under the influence, cracks up while talking about Venusians to Dennis Hopper in this film",Easy Rider
40,8998,CANALS,$400,"Arriving at New York City Nov. 4, 1825, the Seneca Chief became the first boat to travel the length of this canal",the Erie Canal
40,8998,"""I"" + 4",$400,"Typically found at the end of a book, it's an alphabetical listing of items in the book, with page numbers",index
40,8998,TOO MUCH OF SOMETHING,$400,"Oxfam thinks Taylor Swift has too much money, as ""every"" one of these people ""is a policy failure""",a billionaire
40,8998,TICK TOCK,$400,"A major monument of Rouen, France is aRenaissance clockthat has fabulous decorations & machinery, but only one of these",a hand
40,8998,FACE BOOKS,$400,"He published both ""The Eye Book"" & ""The Tooth Book"" as Theo. Lesieg, the last name being an anagram of Geisel",Dr. Seuss
40,8998,INSTA-GRAHAM,$400,"It wasn't until March 17, 2024 that she joined Instagram, posting a picture from ""Gilmore Girls""",Lauren Graham
40,8998,CANALS,$800,"Scotland's Caledonian Canal runs through lakes, including this largest by volume in Britain that's also otherwise famous",Loch Ness
40,8998,"""I"" + 4",$800,This Texas-based company has been making its iconic plastic ice chests since the 1960s,Igloo
40,8998,TOO MUCH OF SOMETHING,$800,"You're feeling wired, your heart is racing--you're this 15-letter word & probably should have skipped that third espresso",overcaffeinated
